,SampleID,Spike_in_label,Spike_in_ratio,ichorCNA
0,K0805,Control,0,0.02464
1,K0009,Control,0,0.02589
2,K2AC24,Control,0,0.02337
3,KZAZ52,Control,0,0.03522
4,K4AA93,Control,0,0.02222
5,K0043,Control,0,0.02802
6,K1936,Control,0,0.03257
7,K0006,Control,0,0.02831
8,K1AB28,Control,0,0.03689
9,K0793,Control,0,0.02526
10,K1586,Control,0,0.01735
11,CRCC5,Control,0,0.0179
12,K2AA15,Control,0,0.05164
13,K0435,Control,0,0.02186
14,K0064,Control,0,0.03056
15,K0AC37,Control,0,0.04607
16,K0106,Control,0,0.03495
17,K0033,Control,0,0.02088
18,K0AAAB33,Control,0,0.02591
19,K1AD22,Control,0,0.03022
20,K0AQ69,Control,0,0.03591
21,KACE35,Control,0,0.02685
22,KZAU93,Control,0,0.0328
23,K0AAAE20,Control,0,0.04084
24,K0AAAE18,Control,0,0.01863
25,K2474,Control,0,0.04101
26,K0103,Control,0,0.01415
27,K2070,Control,0,0.01923
28,K0AI90,Control,0,0.02546
29,K4AC16,Control,0,0.02394
30,K0038,Control,0,0.02849
31,K0GAAA73,Control,0,0.02097
32,K0CAAA16,Control,0,0.0182
33,K4AC10,Control,0,0.08094
34,LBGS087,Control,0,0.0406
35,K2071,Control,0,0.02766
36,KABT41,Control,0,0.02888
37,KAAG58,Control,0,0.02081
38,K0CAAA80,Control,0,0.02978
39,KAAB22,Control,0,0.02493
40,K2031,Control,0,0.02606
41,K0059,Control,0,0.02981
42,KAAK49,Control,0,0.02018
43,KAAV17,Control,0,0.02464
44,KAAG96,Control,0,0.03653
45,K4AG24,Control,0,0.01685
46,KAAE40,Control,0,0.02987
47,K3AE58,Control,0,0.03889
48,K0AF72,Control,0,0.02123
49,K0AC61,Control,0,0.03585
50,LBMB054,Control,0,0.03107
51,K0AJ59,Control,0,0.05713
52,K0599,Control,0,0.02267
53,KZAF65,Control,0,0.02565
54,K1583,Control,0,0.01323
55,K0AAAA04,Control,0,0.02095
56,K2052,Control,0,0.02909
57,K4AE20,Control,0,0.02526
58,K4AD32,Control,0,0.01728
59,K2AE17,Control,0,0.01763
60,K0AR30,Control,0,0.0294
61,K2540,Control,0,0.02612
62,K0DAAA44,Control,0,0.02718
63,K4AC82,Control,0,0.02516
64,LBGS095,Control,0,0.02522
65,K0434,Control,0,0.0149
66,K0AAAD60,Control,0,0.03685
67,K0889,Control,0,0.017
68,K0AI61,Control,0,0.02561
69,KZAR34,Control,0,0.03398
70,K2475,Control,0,0.03492
71,K2001,Control,0,0.03533
72,K0CAAA43,Control,0,0.01785
73,K3AD49,Control,0,0.03917
74,K0672,Control,0,0.02556
75,K0432,Control,0,0.01719
76,K0531,Control,0,0.0222
77,K0AL23,Control,0,0.02269
78,K0AAAG03,Control,0,0.01175
79,KZAC84,Control,0,0.01766
80,K1456,Control,0,0.04242
81,K0AQ64,Control,0,0.03087
82,K4AD21,Control,0,0.03892
83,KAAC67,Control,0,0.03201
84,K4AI82,Control,0,0.02255
85,LBGS087R2,Control,0,0.03547
86,KZAB38,Control,0,0.02666
87,K0DAAA26,Control,0,0.0525
88,K2139,Control,0,0.03251
89,LBGS110,Control,0,0.02791
90,K1380,Control,0,0.01797
91,K0AQ54,Control,0,0.02415
92,K4AJ25,Control,0,0.02095
93,KZAV93,Control,0,0.03438
94,KAAR12,Control,0,0.02829
95,K0AE35,Control,0,0.03346
96,KHAC73,Control,0,0.02129
97,K4AB26,Control,0,0.02966
98,KZAP65,Control,0,0.03005
99,KAAW05,Control,0,0.03305
100,K4AD16,Control,0,0.03346
101,KZBC37,Control,0,0.02533
102,K2AE40,Control,0,0.02521
103,K0958R1,Control,0,0.04455
104,K2523,Control,0,0.01945
105,KZBB25,Control,0,0.03763
106,K4AA55,Control,0,0.0212
107,KABX53,Control,0,0.05423
108,KAAF77,Control,0,0.03354
109,K4AA26,Control,0,0.02778
110,KABK18,Control,0,0.04353
111,K3AC98,Control,0,0.03853
112,KABJ29R1,Control,0,0.02003
113,KZAW95,Control,0,0.02699
114,KABG33,Control,0,0.0418
115,KABZ63,Control,0,0.03741
116,KZBD24,Control,0,0.03085
117,KZAT70,Control,0,0.03689
118,K2AD66,Control,0,0.03212
119,K4AA57,Control,0,0.01923
120,K2AA49,Control,0,0.03267
121,K0723R1,Control,0,0.03032
122,KHAD05R1,Control,0,0.02971
123,K0AAAF38,Control,0,0.01442
124,K2AB41,Control,0,0.02644
125,K4AJ12,Control,0,0.0166
126,K4AE67,Control,0,0.02747
127,KAAS01,Control,0,0.02028
128,K4AH88,Control,0,0.02568
129,K0AAAB01,Control,0,0.02683
130,KABQ47,Control,0,0.04983
131,K0AAAG38,Control,0,0.01671
132,K0AR78,Control,0,0.02092
133,K1AA51R2,Control,0,0.02588
134,K0AAAI18,Control,0,0.03775
135,K4AD78,Control,0,0.03571
136,KZAN11,Control,0,0.02535
137,K2194,Control,0,0.02755
138,K0522,Control,0,0.02321
139,K0717,Control,0,0.02479
140,K0436,Control,0,0.01878
141,K0194R1,Control,0,0.0495
142,K0456,Control,0,0.02769
143,K0272,Control,0,0.02181
144,K0853,Control,0,0.02613
145,K0833,Control,0,0.02845
146,K0953,Control,0,0.02548
147,K0259,Control,0,0.02112
148,K0923,Control,0,0.03195
149,K0313,Control,0,0.02201
150,K0933,Control,0,0.02688
151,K0173,Control,0,0.02767
152,K0665,Control,0,0.02732
153,K0698,Control,0,0.0176
154,K0408,Control,0,0.02463
155,K0465,Control,0,0.02748
156,K0197,Control,0,0.02242
157,K0770,Control,0,0.03006
158,K0838,Control,0,0.03009
159,K0446,Control,0,0.01669
160,K0393,Control,0,0.02486
161,K0115,Control,0,0.02946
162,K0771,Control,0,0.03433
163,K0482,Control,0,0.02243
164,K0881,Control,0,0.02823
165,K0491,Control,0,0.02451
166,K0461,Control,0,0.03523
167,K0947,Control,0,0.01936
168,K0186,Control,0,0.01819
169,K0384,Control,0,0.03105
170,K0164,Control,0,0.02081
171,K0677,Control,0,0.04045
172,K0935,Control,0,0.01193
173,K0704,Control,0,0.02895
174,K0642,Control,0,0.02031
175,K0872,Control,0,0.07475
176,K0779,Control,0,0.02451
177,K0516,Control,0,0.01894
178,K0450,Control,0,0.02157
179,K0430,Control,0,0.01899
180,K0285,Control,0,0.02643
181,K0794,Control,0,0.02216
182,K0756,Control,0,0.02833
183,LBMB113,Control,0,0.026
184,KZAI98,Control,0,0.02551
185,KABC54,Control,0,0.03822
186,K1052,Control,0,0.0187
187,KAAA64,Control,0,0.02926
188,K1455,Control,0,0.01944
189,K2AB71,Control,0,0.0207
190,K1046,Control,0,0.02594
191,K0DAAA20,Control,0,0.01745
192,K0AJ94,Control,0,0.02188
193,K0BAAA40,Control,0,0.0271
194,K2AC63,Control,0,0.02002
195,K4AF63,Control,0,0.03015
196,K1016,Control,0,0.03018
197,KAAZ45,Control,0,0.02516
198,K4AF03,Control,0,0.01919
199,K0AAAG04,Control,0,0.0156
200,K0AAAK35,Control,0,0.02341
201,LBMB131,Control,0,0.02185
202,KAAJ48,Control,0,0.01707
203,KHAB37,Control,0,0.02279
204,K4AA46,Control,0,0.01823
205,KZAB60,Control,0,0.02402
206,KZAB23,Control,0,0.02528
207,K4AF83,Control,0,0.02565
208,KAAH46,Control,0,0.03496
209,KABY19R1,Control,0,0.03024
210,K0AP74,Control,0,0.02143
211,KACG04,Control,0,0.02577
212,K4AA54,Control,0,0.02605
213,K1572,Control,0,0.02064
214,K0AT09,Control,0,0.02307
215,K1399,Control,0,0.01452
216,K1526,Control,0,0.02938
217,KAAC28,Control,0,0.03086
218,KABE11,Control,0,0.1329
219,K2379,Control,0,0.03645
220,KACC94R1,Control,0,0.02282
221,K0925,Control,0,0.0301
222,K0AAAB41,Control,0,0.02535
223,KAAH78,Control,0,0.02177
224,KAAC62,Control,0,0.02556
225,K0AO34,Control,0,0.03294
226,KABP41,Control,0,0.03999
227,K0AG44,Control,0,0.02439
228,KAAH50,Control,0,0.03971
229,K1460,Control,0,0.01504
230,K0AR72,Control,0,0.02651
231,K0AJ31,Control,0,0.02538
232,K0AAAD61,Control,0,0.03745
233,K4AI70,Control,0,0.03001
234,K0AR20,Control,0,0.02067
235,K4AG50,Control,0,0.02176
236,K0AAAI19,Control,0,0.01612
237,K4AI12,Control,0,0.01907
238,KZAC21,Control,0,0.02077
239,K0AR91,Control,0,0.02784
240,K0AAAC84,Control,0,0.02674
241,K0AG42,Control,0,0.03581
242,K4AI18,Control,0,0.03182
243,K4AF09,Control,0,0.02673
244,K2AB44,Control,0,0.02426
245,K4AD41,Control,0,0.015
246,KZAK72,Control,0,0.0438
247,K2288,Control,0,0.01978
248,K2AD80,Control,0,0.02512
249,K0973,Control,0,0.03959
250,KZBA20,Control,0,0.02169
251,K0AQ72,Control,0,0.01699
252,K2AD37,Control,0,0.01935
