,SampleID,Spike_in_label,Spike_in_ratio,ichorCNA
0,K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_0,Liver,1.0,0.02463
1,K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_1,Liver,0.5,0.024
2,K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_2,Liver,1.0,0.02414
3,K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_2,Liver,10.0,0.04376
4,K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_1,Liver,1.0,0.02447
5,K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_0,Liver,0.5,0.02394
6,K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_2,Liver,0.5,0.02249
7,K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_1,Liver,10.0,0.04626
8,K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_2,Liver,1.0,0.02428
9,K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_1,Liver,0.5,0.02276
10,K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0,Liver,1.0,0.02425
11,K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0,Liver,10.0,0.04431
12,K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1,Liver,1.0,0.02411
13,K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,Liver,0.5,0.02273
14,K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2,Liver,0.5,0.02415
15,K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1,Liver,10.0,0.03266
16,K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2,Liver,5.0,0.02398
17,K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,Liver,0.1,0.02476
18,K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0,Liver,10.0,0.03302
19,K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1,Liver,0.1,0.02463
20,K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0,Liver,5.0,0.02373
21,K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2,Liver,10.0,0.03187
22,K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0,Liver,0.1,0.02464
23,K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1,Liver,5.0,0.02401
24,K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2,Liver,1.0,0.02365
25,K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2,Liver,0.5,0.02401
26,K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1,Liver,0.5,0.02394
27,K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0,Liver,1.0,0.02386
28,K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0,Liver,0.5,0.02389
29,K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1,Liver,1.0,0.02471
30,K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0,Liver,5.0,0.02848
31,K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1,Liver,50.0,0.1352
32,K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_1,Liver,0.1,0.02451
33,K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_0,Liver,5.0,0.03335
34,K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_0,Liver,50.0,0.1335
35,K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_1,Liver,5.0,0.02887
36,K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_0,Liver,0.1,0.02464
37,K0805_spike_in__01_from_ZMH050S_label_Liver_replicate_2,Liver,10.0,0.05441
38,K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_2,Liver,0.1,0.02472
39,K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_1,Liver,5.0,0.03247
40,K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_2,Liver,5.0,0.0281
41,K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_1,Liver,0.1,0.02469
42,K0805_spike_in__01_from_ZMH050S_label_Liver_replicate_1,Liver,10.0,0.05292
43,K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_2,Liver,5.0,0.03687
44,K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_2,Liver,50.0,0.1307
45,K0805_spike_in__01_from_ZMH050S_label_Liver_replicate_0,Liver,10.0,0.04101
46,K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_0,Liver,0.1,0.02467
47,K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_2,Liver,0.1,0.02448
48,K0805_spike_in__005_from_ZMH048S_label_Liver_replicate_1,Liver,5.0,0.05853
49,K0805_spike_in__01_from_ZMH048S_label_Liver_replicate_2,Liver,10.0,0.09309
50,K0805_spike_in__0001_from_ZMH053S_label_Liver_replicate_0,Liver,0.1,0.02454
51,K0805_spike_in__005_from_ZMH048S_label_Liver_replicate_0,Liver,5.0,0.05928
52,K0805_spike_in__0001_from_ZMH053S_label_Liver_replicate_1,Liver,0.1,0.02475
53,K0805_spike_in__0001_from_ZMH053S_label_Liver_replicate_2,Liver,0.1,0.02468
54,K0805_spike_in__01_from_ZMH048S_label_Liver_replicate_0,Liver,10.0,0.08899
55,K0805_spike_in__005_from_ZMH048S_label_Liver_replicate_2,Liver,5.0,0.05918
56,K0805_spike_in__01_from_ZMH048S_label_Liver_replicate_1,Liver,10.0,0.0838
57,K0805_spike_in__0001_from_pool_Liver_label_Liver_replicate_1,Liver,0.1,0.02458
58,K0805_spike_in__0005_from_ZMH050S_label_Liver_replicate_2,Liver,0.5,0.02449
59,K0805_spike_in__001_from_ZMH056S_label_Liver_replicate_1,Liver,1.0,0.02232
60,K0805_spike_in__0001_from_pool_Liver_label_Liver_replicate_0,Liver,0.1,0.02472
61,K0805_spike_in__001_from_ZMH056S_label_Liver_replicate_0,Liver,1.0,0.02249
62,K0805_spike_in__001_from_ZMH051S_label_Liver_replicate_2,Liver,1.0,0.02349
63,K0805_spike_in__0005_from_ZMH050S_label_Liver_replicate_0,Liver,0.5,0.02476
64,K0805_spike_in__001_from_ZMH051S_label_Liver_replicate_1,Liver,1.0,0.02326
65,K0805_spike_in__0005_from_ZMH050S_label_Liver_replicate_1,Liver,0.5,0.02429
66,K0805_spike_in__0001_from_pool_Liver_label_Liver_replicate_2,Liver,0.1,0.02468
67,K0805_spike_in__001_from_ZMH051S_label_Liver_replicate_0,Liver,1.0,0.02371
68,K0805_spike_in__001_from_ZMH056S_label_Liver_replicate_2,Liver,1.0,0.02218
69,K0805_spike_in__01_from_ZMH051S_label_Liver_replicate_0,Liver,10.0,0.05474
70,K0805_spike_in__0001_from_ZMH050S_label_Liver_replicate_2,Liver,0.1,0.02454
71,K0805_spike_in__01_from_ZMH056S_label_Liver_replicate_2,Liver,10.0,0.07079
72,K0805_spike_in__005_from_ZMH056S_label_Liver_replicate_1,Liver,5.0,0.04647
73,K0805_spike_in__01_from_ZMH051S_label_Liver_replicate_1,Liver,10.0,0.06078
74,K0805_spike_in__0005_from_pool_Liver_label_Liver_replicate_2,Liver,0.5,0.02461
75,K0805_spike_in__005_from_ZMH056S_label_Liver_replicate_0,Liver,5.0,0.0456
76,K0805_spike_in__005_from_ZMH051S_label_Liver_replicate_2,Liver,5.0,0.04959
77,K0805_spike_in__0001_from_ZMH050S_label_Liver_replicate_0,Liver,0.1,0.02464
78,K0805_spike_in__01_from_ZMH056S_label_Liver_replicate_0,Liver,10.0,0.07032
79,K0805_spike_in__01_from_ZMH051S_label_Liver_replicate_2,Liver,10.0,0.0583
80,K0805_spike_in__0005_from_pool_Liver_label_Liver_replicate_1,Liver,0.5,0.02434
81,K0805_spike_in__005_from_ZMH051S_label_Liver_replicate_1,Liver,5.0,0.05104
82,K0805_spike_in__01_from_ZMH056S_label_Liver_replicate_1,Liver,10.0,0.06322
83,K0805_spike_in__0001_from_ZMH050S_label_Liver_replicate_1,Liver,0.1,0.02448
84,K0805_spike_in__0005_from_pool_Liver_label_Liver_replicate_0,Liver,0.5,0.02463
85,K0805_spike_in__005_from_ZMH051S_label_Liver_replicate_0,Liver,5.0,0.04516
86,K0805_spike_in__005_from_ZMH056S_label_Liver_replicate_2,Liver,5.0,0.04536
87,K0805_spike_in__08_from_pool_Liver_label_Liver_replicate_0,Liver,80.0,0.2035
88,K0805_spike_in__001_from_ZMH048S_label_Liver_replicate_1,Liver,1.0,0.02784
89,K0805_spike_in__0005_from_ZMH053S_label_Liver_replicate_0,Liver,0.5,0.02437
