SampleID,Raw_SampleID,Raw_bam,Spike_in_label,Sample_type,Spike_in_ratio,Replicate,Spike_in_name,Spike_in_resource,Bam_file,Bam_file_tumor,ichorCNA
KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,0.1,2,ZNB07S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/7-ZNB07SME131W_M555-M755.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.tumor.bam,0.02478
KAAV17_spike_in__005_from_pool_Breast_label_Breast_replicate_0,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,5.0,0,pool_Breast,/mnt/archiving/DATA_HIEUNHO/tumor_atlas_official/pool_Breast_tissue.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__005_from_pool_Breast_label_Breast_replicate_0.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__005_from_pool_Breast_label_Breast_replicate_0.tumor.bam,0.03327
KAAV17_spike_in__0001_from_ZNB20S_label_Breast_replicate_2,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,0.1,2,ZNB20S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/2-ZNB20SME131W_M511-M711.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB20S_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB20S_label_Breast_replicate_2.tumor.bam,0.0246
KAAV17_spike_in__0005_from_ZNB20S_label_Breast_replicate_0,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,0.5,0,ZNB20S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/2-ZNB20SME131W_M511-M711.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB20S_label_Breast_replicate_0.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB20S_label_Breast_replicate_0.tumor.bam,0.0249
KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_1,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,0.5,1,ZNB12S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/1-ZNB12SME131W_M549-M749.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_1.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_1.tumor.bam,0.02795
KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_2,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,0.5,2,ZNB12S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/1-ZNB12SME131W_M549-M749.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0005_from_ZNB12S_label_Breast_replicate_2.tumor.bam,0.02456
KAAV17_spike_in__001_from_ZNB04SR2_label_Breast_replicate_2,KAAV17,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repository/04_bismark_deduplicated/KAAV17.deduplicated.bam,Breast,cfDNA,1.0,2,ZNB04SR2,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/ZNB04SR2.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__001_from_ZNB04SR2_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__001_from_ZNB04SR2_label_Breast_replicate_2.tumor.bam,0.0249
K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2,K3AE58,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repo/R3849/04_bismark_deduplicated/36-K3AE58W_M538-M738.deduplicated.bam,Breast,cfDNA,0.1,2,ZNB07S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/7-ZNB07SME131W_M555-M755.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.tumor.bam,0.03863
K3AE58_spike_in__0005_from_ZNB07S_label_Breast_replicate_0,K3AE58,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repo/R3849/04_bismark_deduplicated/36-K3AE58W_M538-M738.deduplicated.bam,Breast,cfDNA,0.5,0,ZNB07S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/7-ZNB07SME131W_M555-M755.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0005_from_ZNB07S_label_Breast_replicate_0.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0005_from_ZNB07S_label_Breast_replicate_0.tumor.bam,0.03689
K3AE58_spike_in__001_from_ZNB07S_label_Breast_replicate_2,K3AE58,/mnt/BACKUP_NAS05/ECDGW_BISMARK_repo/R3849/04_bismark_deduplicated/36-K3AE58W_M538-M738.deduplicated.bam,Breast,cfDNA,1.0,2,ZNB07S,/mnt/archiving/DATA_HIEUNHO/GW-bismark_cfDNA-highdepth_pair-end/04_bismark_deduplicated_sorted/7-ZNB07SME131W_M555-M755.deduplicated.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__001_from_ZNB07S_label_Breast_replicate_2.sorted.bam,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/Spike_in/output/151124_spike_in_GW_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__001_from_ZNB07S_label_Breast_replicate_2.tumor.bam,0.0367
