SampleID,Raw_SampleID,Raw_bam,Spike_in_label,Sample_type,Spike_in_ratio,Replicate,Spike_in_name,Spike_in_resource,Bam_file,Bam_file_tumor,ichorCNA
KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2,KAAV17,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/bamTMD_metadata_ECD/bam/KAAV17.deduplicated.bam,Breast,cfDNA,0.1,2,ZNB07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB07S/ZNB07S/ZNB07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAV17_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.tumor.bam,0.09246
KAAG96_spike_in__0001_from_ZNB35S_label_Breast_replicate_1,KAAG96,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/bamTMD_metadata_ECD/bam/KAAG96.deduplicated.bam,Breast,cfDNA,0.1,1,ZNB35S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB35S/ZNB35S/ZNB35S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAG96_spike_in__0001_from_ZNB35S_label_Breast_replicate_1.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAG96_spike_in__0001_from_ZNB35S_label_Breast_replicate_1.tumor.bam,0.04279
K4AG24_spike_in__0001_from_pool_Breast_label_Breast_replicate_1,K4AG24,/mnt/BACKUP_NAS05/ECDTM_repo/R4005/align/42-K4AG24T_M581-M781.deduplicated.bam,Breast,cfDNA,0.1,1,pool_Breast,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Breast.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K4AG24_spike_in__0001_from_pool_Breast_label_Breast_replicate_1.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K4AG24_spike_in__0001_from_pool_Breast_label_Breast_replicate_1.tumor.bam,0.1064
KAAE40_spike_in__0001_from_pool_Breast_label_Breast_replicate_1,KAAE40,/mnt/BACKUP_NAS05/ECDTM_repository/align/17-KAAE40T_M514-M714.deduplicated.bam,Breast,cfDNA,0.1,1,pool_Breast,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/pool_Breast.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAE40_spike_in__0001_from_pool_Breast_label_Breast_replicate_1.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAE40_spike_in__0001_from_pool_Breast_label_Breast_replicate_1.tumor.bam,0.05105
KAAG96_spike_in__0001_from_ZNB20S_label_Breast_replicate_1,KAAG96,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/bamTMD_metadata_ECD/bam/KAAG96.deduplicated.bam,Breast,cfDNA,0.1,1,ZNB20S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB20S/ZNB20S/ZNB20S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAG96_spike_in__0001_from_ZNB20S_label_Breast_replicate_1.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAG96_spike_in__0001_from_ZNB20S_label_Breast_replicate_1.tumor.bam,0.04289
K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2,K3AE58,/mnt/BACKUP_NAS05/ECDTM_repo/R3849/align/20-K3AE58T_M538-M738.deduplicated.bam,Breast,cfDNA,0.1,2,ZNB07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB07S/ZNB07S/ZNB07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K3AE58_spike_in__0001_from_ZNB07S_label_Breast_replicate_2.tumor.bam,0.08837
K0AF72_spike_in__0001_from_ZNB35S_label_Breast_replicate_0,K0AF72,/mnt/BACKUP_NAS05/ECDTM_repo/R3429/align/83-K0AF72T_M508-M708.deduplicated.bam,Breast,cfDNA,0.1,0,ZNB35S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB35S/ZNB35S/ZNB35S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K0AF72_spike_in__0001_from_ZNB35S_label_Breast_replicate_0.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K0AF72_spike_in__0001_from_ZNB35S_label_Breast_replicate_0.tumor.bam,0.1015
KAAE40_spike_in__0001_from_ZNB12S_label_Breast_replicate_0,KAAE40,/mnt/BACKUP_NAS05/ECDTM_repository/align/17-KAAE40T_M514-M714.deduplicated.bam,Breast,cfDNA,0.1,0,ZNB12S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB12S/ZNB12S/ZNB12S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAE40_spike_in__0001_from_ZNB12S_label_Breast_replicate_0.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/KAAE40_spike_in__0001_from_ZNB12S_label_Breast_replicate_0.tumor.bam,0.05126
K0AC61_spike_in__0001_from_ZNB034SR1_label_Breast_replicate_0,K0AC61,/mnt/BACKUP_NAS05/ECDTM_repo/R3178/align/12-K0AC61T_M584-M784.deduplicated.bam,Breast,cfDNA,0.1,0,ZNB034SR1,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB034SR1/ZNB034SR1/ZNB034SR1.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K0AC61_spike_in__0001_from_ZNB034SR1_label_Breast_replicate_0.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/K0AC61_spike_in__0001_from_ZNB034SR1_label_Breast_replicate_0.tumor.bam,0.1173
LBMB054_spike_in__0001_from_ZNB12S_label_Breast_replicate_0,LBMB054,/mnt/BACKUP_NAS05/ECDTM_repository/align/6-ZLBMB054ME81_M512-M712_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Breast,cfDNA,0.1,0,ZNB12S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB12S/ZNB12S/ZNB12S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/LBMB054_spike_in__0001_from_ZNB12S_label_Breast_replicate_0.sorted.bam,/mnt/DATASM14/hieunho/hieu_pipeline/Spike_in/output/071024_spike_in_TMD_samples_use_tissue_highdepth_bosung/01_Subsampling_merge_sort_index/LBMB054_spike_in__0001_from_ZNB12S_label_Breast_replicate_0.tumor.bam,0.05662
