Sample,ichorCNA
K1AA51R2,0.05658
KZBD24,0.06973
K4AI12,0.117
KAAF19,0.04319
KZAV93,0.08529
K0AAAI19,0.06573
K1046,0.05071
K4AD32,0.04875
K0AP74,0.06436
K0AAAA92,0.167
K4AJ12,0.05294
K2AD37,0.08531
K0973,0.05895
K4AG24,0.1064
K1455,0.04452
K0AP80,0.07151
K0465,0.0
K1391,0.05141
KABH80,0.09078
K2AD80,0.04782
KAAC62,0.05722
K0677,0.04081
K0446,0.05505
KHAC73,0.06235
K2071,0.05666
K1399,0.04839
LBGS110,0.09386
K0AAAC84,0.1248
K0CAAA80,0.09716
KZAB38,0.222
K4AJ25,0.07969
K0064,0.04485
KABP41,0.08192
K0427,0.03322
LBMB113,0.09403
K0794,0.04852
K4AA57,0.1922
K0805,0.04691
K2AE17,0.1322
KZBB25,0.08009
K0AJ31,0.06933
K4AI82,0.1822
LBMB131,0.08202
K0AT09,0.1846
K4AC16,0.08048
K4AC10,0.1302
K0AG42,0.1306
K1586,0.0
KZAI98,0.04801
KAAG96,0.04278
K0AQ54,0.08009
K0779,0.04565
K4AD78,0.1027
K0AC37,0.1518
K0186,0.0
K0776,0.0
K0AQ64,0.05028
K4AA93,0.07987
K4AD41,0.08602
K0516,0.0521
K2AD66,0.07539
K0435,0.0698
K0450,0.05031
KACE35,0.07899
KABK18,0.07047
KAAT91,0.1004
KZAP65,0.1379
K0BAAA40,0.07756
K4AF09,0.1473
KZAC21,0.08205
K4AE37,0.08102
KZAI48,0.03109
K0043,0.05499
K0947,0.0
K0408,0.0
K4AH88,0.0
K0AAAB41,0.083
KABX53,0.1713
K0AI90,0.06865
KZAW95,0.1408
K2AB44,0.06334
K0456,0.05272
K1052,0.03476
K0833,0.0
K0009,0.04563
K0889,0.0
K0717,0.03807
K0CAAA16,0.12
K0AR40,0.1206
K0AI61,0.09333
K4AE67,0.08588
K0665,0.02812
KAAA64,0.0398
K0AAAK35,0.08824
LBGS087,0.06077
K0491,0.06835
K0AAAD61,0.05331
K0DAAA20,0.1792
K0393,0.0568
KACG04,0.08147
K0285,0.0173
K0702,0.03587
K0838,0.0495
K4AF03,0.1498
K0AAAB33,0.09857
K0599,0.0
K0770,0.08281
KZAR34,0.1064
K3AF26,0.06674
K0AQ69,0.04816
K0033,0.02949
K4AB26,0.0329
KABZ63,0.06593
K0935,0.05234
K2AA15,0.04339
K0059,0.07638
K0AO34,0.04853
K0432,0.04961
K0569,0.04168
K0AQ91,0.06972
K1572,0.04607
KAAZ35,0.1471
K2288,0.0659
LBGS095,0.0
K2194,0.04161
K0840,0.05728
K0AR78,0.05407
K3AE58,0.08836
K0434,0.03631
K0AR91,0.04151
K0430,0.0
K0723R1,0.07101
K2540,0.04256
K4AA55,0.1118
K3AC98,0.1323
K1380,0.0653
K0AH16,0.1324
K0DAAA26,0.1562
KAAK49,0.02175
K0AR20,0.1325
K4AD21,0.1455
K0AAAH53R1,0.12
K0006,0.0
K0436,0.07825
K0482,0.04742
K4AC60,0.1135
K0AJ94,0.07
K0GAAA73,0.08162
KABQ47,0.1419
K0AF72,0.1015
K0825,0.0181
K0704,0.03644
K0103,0.04238
K2304,0.05523
K0313,0.07274
K2474,0.07262
KAAW05,0.1604
K0933,0.05698
K0461,0.0
KZAF33,0.05672
K0AAAG04,0.05638
K4AE20,0.06291
K0AAAD60,0.0758
K0406,0.03197
K0953,0.06341
K4AA26,0.09131
KABE11,0.146
K2AA49,0.1026
K0AE35,0.0957
K1AD22,0.07741
K2031,0.04737
CRCC5,0.07987
K2052,0.02691
K0AR72,0.04741
K0AAAF38,0.1142
K0793,0.0358
KAAZ45,0.2032
K0AJ59,0.1348
KAAE40,0.05071
KHAB37,0.1058
K0AAAI18,0.09328
KAAR12,0.06079
K0771,0.05805
K4AA46,0.1292
KHAD05R1,0.1388
K0AAAG38,0.1243
KAAJ48,0.1243
K0384,0.05212
K0AAAB01,0.0
KAAF77,0.0
K0164,0.04256
LBMB054,0.0566
K1583,0.02869
KZAC84,0.0744
K1526,0.06474
KABY19R1,0.0232
K0698,0.04754
K0853,0.0
KACC94R1,0.08686
K2001,0.05146
K0AC61,0.1176
KZAT70,0.0609
KAAF17,0.05407
K2070,0.05614
KZAU93,0.07212
K0106,0.05999
KAAS01,0.07471
KAAH78,0.04392
K2139,0.0
K2379,0.0407
KZAF65,0.09529
K0CAAA43,0.05212
K0AAAA04,0.1359
K2AB71,0.09464
LBGS087R2,0.02009
K4AD50,0.1245
K1016,0.08905
K0531,0.06315
KZBC37,0.07058
K0958R1,0.04107
K0AQ72,0.04742
K0660,0.01631
K0AL23,0.1294
KAAB22,0.02986
KAAC28,0.09834
K0872,0.05398
K3AB61,0.05161
K0AB58,0.05292
K0AAAE20,0.08662
K0AR30,0.1249
K1AB28,0.03894
KAAH46,0.05463
KZBA20,0.0318
K2AC24,0.0426
K4AI18,0.1399
K0756,0.0
K4AG50,0.04197
K4AA54,0.137
K4AI70,0.08966
K0115,0.07276
KAAC67,0.08292
K4AE23,0.08614
KABT41,0.121
K0194R1,0.0764
K0272,0.05961
K4AC82,0.1223
K2AA61,0.1019
K2AD73,0.05457
KZAZ52,0.1114
K2AE40,0.1016
K0038,0.01874
K2AB41,0.06473
K1936,0.05538
KZAK72,0.1662
K0AAAE18,0.05613
K0925,0.04012
KABG33,0.05728
KZAB60,0.1466
K2523,0.05489
KABJ29R1,0.03329
KZAF86,0.07509
K0642,0.0
K1456,0.04429
K4AF83,0.1237
K0197,0.0467
K0923,0.03195
K0672,0.04168
K0173,0.05136
K2AC63,0.1448
K1460,0.04061
KAAH50,0.05008
KACH85,0.07212
KABG17,0.1491
K0AG44,0.0951
KZAB23,0.1093
K0AAAG03,0.03436
K4AA96,0.1144
K2475,0.03024
K4AF63,0.06784
KAAV17,0.09238
K0522,0.05418
KZAN11,0.1404
K0438,0.05
KABC54,0.1052
KAAG58,0.03275
K0881,0.02561
K4AD16,0.1724
K0DAAA44,0.0
