,SampleID,TM_BAM,ichorCNA
0,K0001,/mnt/BACKUP_NAS05/ECDTM_repository/align/17-K0001TCT1_M588-M788.deduplicated.bam,0.0573
1,K0003,/mnt/BACKUP_NAS05/ECDTM_repository/align/18-K0003TCT1_M590-M790.deduplicated.bam,0.06758
2,K0004,/mnt/BACKUP_NAS05/ECDTM_repository/align/19-K0004TCT1_M591-M791.deduplicated.bam,0.05959
3,K0006,/mnt/BACKUP_NAS05/ECDTM_repository/align/21-K0006TCT1_M593-M793.deduplicated.bam,0.0
4,K0007,/mnt/BACKUP_NAS05/ECDTM_repository/align/22-K0007TCT1_M594-M794.deduplicated.bam,0.03697
5,K0008,/mnt/BACKUP_NAS05/ECDTM_repository/align/23-K0008TCT1_M595-M795.deduplicated.bam,0.0
6,K0009,/mnt/BACKUP_NAS05/ECDTM_repository/align/24-K0009TCT1_M596-M796.deduplicated.bam,0.04563
7,K0010,/mnt/BACKUP_NAS05/ECDTM_repository/align/25-K0010TCT1_M549-M749.deduplicated.bam,0.0
8,K0011,/mnt/BACKUP_NAS05/ECDTM_repository/align/26-K0011TCT1_M550-M750.deduplicated.bam,0.0
9,K0012,/mnt/BACKUP_NAS05/ECDTM_repository/align/27-K0012TCT1_M551-M751.deduplicated.bam,0.05968
10,K0013,/mnt/BACKUP_NAS05/ECDTM_repository/align/28-K0013TCT1_M552-M752.deduplicated.bam,0.0653
11,K0014,/mnt/BACKUP_NAS05/ECDTM_repository/align/29-K0014TCT1_M553-M753.deduplicated.bam,0.0
12,K0015,/mnt/BACKUP_NAS05/ECDTM_repository/align/30-K0015TCT1_M554-M754.deduplicated.bam,0.06595
13,K0016,/mnt/BACKUP_NAS05/ECDTM_repository/align/31-K0016TCT1_M555-M755.deduplicated.bam,0.07045
14,K0017,/mnt/BACKUP_NAS05/ECDTM_repository/align/32-K0017TCT1_M556-M756.deduplicated.bam,0.06697
15,K0018,/mnt/BACKUP_NAS05/ECDTM_repository/align/31-K0018TCT2_M557-M757.deduplicated.bam,0.02365
16,K0019,/mnt/BACKUP_NAS05/ECDTM_repository/align/32-K0019TCT2_M558-M758.deduplicated.bam,0.02894
17,K0020,/mnt/BACKUP_NAS05/ECDTM_repository/align/33-K0020TCT2_M559-M759.deduplicated.bam,0.03015
18,K0021,/mnt/BACKUP_NAS05/ECDTM_repository/align/34-K0021TCT2_M560-M760.deduplicated.bam,0.0348
19,K0022,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0022TCT2_M561-M761.deduplicated.bam,0.02692
20,K0023,/mnt/BACKUP_NAS05/ECDTM_repository/align/36-K0023TCT2_M562-M762.deduplicated.bam,0.02697
21,K0024,/mnt/BACKUP_NAS05/ECDTM_repository/align/37-K0024TCT2_M563-M763.deduplicated.bam,0.03447
22,K0025,/mnt/BACKUP_NAS05/ECDTM_repository/align/33-K0025TCT4_M562-M762.deduplicated.bam,0.0
23,K0026,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0026TCT2_M568-M768.deduplicated.bam,0.034
24,K0027,/mnt/BACKUP_NAS05/ECDTM_repository/align/39-K0027TCT2_M569-M769.deduplicated.bam,0.02655
25,K0028,/mnt/BACKUP_NAS05/ECDTM_repository/align/34-K0028TCT4_M563-M763.deduplicated.bam,0.04335
26,K0029,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0029TCT4_M564-M764.deduplicated.bam,0.0418
27,K0030,/mnt/BACKUP_NAS05/ECDTM_repository/align/36-K0030TCT4_M565-M765.deduplicated.bam,0.06558
28,K0031,/mnt/BACKUP_NAS05/ECDTM_repository/align/37-K0031TCT4_M566-M766.deduplicated.bam,0.05078
29,K0032,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0032TCT4_M567-M767.deduplicated.bam,0.06568
30,K0033,/mnt/BACKUP_NAS05/ECDTM_repository/align/40-K0033TCT2_M575-M775.deduplicated.bam,0.02949
31,K0037,/mnt/BACKUP_NAS05/ECDTM_repository/align/41-K0037TCT4_M570-M770.deduplicated.bam,0.0557
32,K0038,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0038TCT2_M580-M780.deduplicated.bam,0.01874
33,K0039,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0039TCT4_M571-M771.deduplicated.bam,0.05457
34,K0040,/mnt/BACKUP_NAS05/ECDTM_repository/align/43-K0040TCT2_M582-M782.deduplicated.bam,0.0
35,K0041,/mnt/BACKUP_NAS05/ECDTM_repository/align/43-K0041TCT4_M572-M772.deduplicated.bam,0.04874
36,K0042,/mnt/BACKUP_NAS05/ECDTM_repository/align/44-K0042TCT2_M584-M784.deduplicated.bam,0.0
37,K0043,/mnt/BACKUP_NAS05/ECDTM_repository/align/44-K0043TCT4_M573-M773.deduplicated.bam,0.05499
38,K0044,/mnt/BACKUP_NAS05/ECDTM_repository/align/45-K0044TCT4_M574-M774.deduplicated.bam,0.06431
39,K0047,/mnt/BACKUP_NAS05/ECDTM_repository/align/47-K0047TCT4_M577-M777.deduplicated.bam,0.08295
40,K0048,/mnt/BACKUP_NAS05/ECDTM_repository/align/48-K0048TCT4_M578-M778.deduplicated.bam,0.0
41,K0049,/mnt/BACKUP_NAS05/ECDTM_repository/align/102-K0049CT11T_M584-M784.deduplicated.bam,0.06997
42,K0050,/mnt/BACKUP_NAS05/ECDTM_repository/align/1-K0050TCT3_M592-M792.deduplicated.bam,0.0453
43,K0051,/mnt/BACKUP_NAS05/ECDTM_repository/align/2-K0051TCT3_M593-M793.deduplicated.bam,0.05759
44,K0052,/mnt/BACKUP_NAS05/ECDTM_repository/align/3-K0052TCT3_M594-M794.deduplicated.bam,0.04753
45,K0053,/mnt/BACKUP_NAS05/ECDTM_repository/align/4-K0053TCT3_M595-M795.deduplicated.bam,0.05561
46,K0054,/mnt/BACKUP_NAS05/ECDTM_repository/align/5-K0054TCT3_M596-M796.deduplicated.bam,0.08649
47,K0055,/mnt/BACKUP_NAS05/ECDTM_repository/align/6-K0055TCT3_M549-M749.deduplicated.bam,0.04097
48,K0056,/mnt/BACKUP_NAS05/ECDTM_repository/align/7-K0056TCT3_M550-M750.deduplicated.bam,0.04201
49,K0057,/mnt/BACKUP_NAS05/ECDTM_repository/align/8-K0057TCT3_M551-M751.deduplicated.bam,0.06228
50,K0058,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-K0058TCT3_M552-M752.deduplicated.bam,0.0
51,K0059,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0059TCT3_M553-M753.deduplicated.bam,0.07638
52,K0060,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0060TCT3_M554-M754.deduplicated.bam,0.05689
53,K0061,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0061.deduplicated.bam,0.04771
54,K0062,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0062.deduplicated.bam,0.04479
55,K0064,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0064.deduplicated.bam,0.04485
56,K0065,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0065CT17T_M549-M749.deduplicated.bam,0.0
57,K0066,/mnt/BACKUP_NAS05/ECDTM_repository/align/31-K0066CT9T_M550-M750.deduplicated.bam,0.04238
58,K0067,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0067.deduplicated.bam,0.0485
59,K0068,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0068.deduplicated.bam,0.06188
60,K0070,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0070.deduplicated.bam,0.04464
61,K0071,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0071TCT5_M591-M791.deduplicated.bam,0.03672
62,K0072,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0072.deduplicated.bam,0.04225
63,K0073,/mnt/BACKUP_NAS05/ECDTM_repository/align/34-K0073KR1CT55T_M594-M794.deduplicated.bam,0.03906
64,K0074,/mnt/BACKUP_NAS05/ECDTM_repository/align/33-K0074CT9T_M552-M752.deduplicated.bam,0.0
65,K0076,/mnt/BACKUP_NAS05/ECDTM_repository/align/1-K0076CT6T_M556-M756.deduplicated.bam,0.05978
66,K0077,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/31-K0077CT6T_M557-M757.deduplicated.bam,0.0
67,K0078,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/32-K0078CT6T_M558-M758.deduplicated.bam,0.06749
68,K0079,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/2-K0079CT6T_M559-M759.deduplicated.bam,0.04337
69,K0080,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/3-K0080CT6T_M560-M760.deduplicated.bam,0.07971
70,K0081,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0081KR1CT55T_M595-M795.deduplicated.bam,0.0613
71,K0082,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0082CT9T_M554-M754.deduplicated.bam,0.05484
