,SampleID,group
0,L12174,Hanh_request
1,L12401,Hanh_request
2,L12406,Hanh_request
3,L12486,Hanh_request
4,L12506,Hanh_request
5,L12528,Hanh_request
6,L12575,Hanh_request
7,L12576,Hanh_request
8,L12661,Hanh_request
9,L12663,Hanh_request
10,L12668,Hanh_request
11,L12703,Hanh_request
12,L12866R1,Hanh_request
13,L12964R1,Hanh_request
14,L12997,Hanh_request
15,LAAD70,Hanh_request
16,LAAE74,Hanh_request
17,LAAF81,Hanh_request
18,LAAG69,Hanh_request
19,LAAH75,Hanh_request
20,LAAH76,Hanh_request
21,LAAH90,Hanh_request
22,LAAL31,Hanh_request
23,LAAL98,Hanh_request
24,LAAM80,Hanh_request
25,LAAM90,Hanh_request
26,LAAN35,Hanh_request
27,LAAN42,Hanh_request
28,LAAN45,Hanh_request
29,LAAN87,Hanh_request
30,LAAO12,Hanh_request
31,LAAO42,Hanh_request
32,LAAO74,Hanh_request
33,LAAO76,Hanh_request
34,LAAO79,Hanh_request
35,LAAO97,Hanh_request
36,LAAP36,Hanh_request
37,LAAP44,Hanh_request
38,LAAP45,Hanh_request
39,LAAP49,Hanh_request
40,LAAQ83,Hanh_request
41,LAAQ91,Hanh_request
42,LAAR25,Hanh_request
43,LAAR35,Hanh_request
44,LAAR72,Hanh_request
45,LAAT74,Hanh_request
46,LAAU29,Hanh_request
47,LAAV14,Hanh_request
48,LAAV31,Hanh_request
49,LAAV33,Hanh_request
50,LAAX22,Hanh_request
51,LAAY68,Hanh_request
52,LAAY80,Hanh_request
53,LAAZ19,Hanh_request
54,LAAZ56,Hanh_request
55,LAAZ58,Hanh_request
56,LAAZ64,Hanh_request
57,LABA08,Hanh_request
58,LABA11,Hanh_request
59,LABB17,Hanh_request
60,LABB18,Hanh_request
61,LABB19,Hanh_request
62,LABB45,Hanh_request
63,LABB59,Hanh_request
64,LABB80,Hanh_request
65,LABC31,Hanh_request
66,LABW18,Hanh_request
67,NL09,Hanh_request
