,SampleID,group
0,K0AAAA40,Vi_request
1,K0AAAB38,Vi_request
2,K0AAAD42,Vi_request
3,K0AAAD48,Vi_request
4,K0AAAD83,Vi_request
5,K0AAAE50,Vi_request
6,K0AAAH47,Vi_request
7,K0AAAH61,Vi_request
8,K0AAAH99,Vi_request
9,K0AAAI41,Vi_request
10,K0AAAI77,Vi_request
11,K0AAAI88,Vi_request
12,K0AAAI95,Vi_request
13,K0AAAJ01,Vi_request
14,K0AAAJ04,Vi_request
15,K0AAAJ12,Vi_request
16,K0AAAK45,Vi_request
17,K0AAAK49,Vi_request
18,K0AAAK63,Vi_request
19,K0AAAK73,Vi_request
20,K0AAAK90,Vi_request
21,K0AAAU57,Vi_request
22,K0AAAU61,Vi_request
23,K0AAAU63,Vi_request
24,K0AAAU65,Vi_request
25,K0AAAU72,Vi_request
26,K0AAAV87,Vi_request
27,K0AAAW01,Vi_request
28,K0AAAW02,Vi_request
29,K0AAAW04,Vi_request
30,K0AAAW06,Vi_request
31,K0AAAW08,Vi_request
32,K0AAAW30,Vi_request
33,K0AAAW37,Vi_request
34,K0AAAW47,Vi_request
35,K0AAAW83,Vi_request
36,K0AAAW86,Vi_request
37,K0AAAW89,Vi_request
38,K0AAAW97,Vi_request
39,K0AAAW99,Vi_request
40,K0AAAX02,Vi_request
41,K0AAAX07,Vi_request
42,K0CAAA25,Vi_request
43,K0CAAA44,Vi_request
44,K0CAAA53,Vi_request
45,K0CAAA65,Vi_request
46,K0CAAH88,Vi_request
47,K0CAAI16,Vi_request
48,K0CAAI17,Vi_request
49,K0CAAI19,Vi_request
50,K0CAAI24,Vi_request
51,K0CAAI25,Vi_request
52,K0CAAI28,Vi_request
53,K0CAAI47,Vi_request
54,K0CAAI63,Vi_request
55,K0CAAI65,Vi_request
56,K0CAAI70,Vi_request
57,K0CAAI75,Vi_request
58,K0CAAI76,Vi_request
59,K0CAAI82,Vi_request
60,K0DAAA39,Vi_request
61,K0DAAF19,Vi_request
62,K0DAAF20,Vi_request
63,K0DAAF28,Vi_request
64,K0GAAK39,Vi_request
65,K0GAAK42,Vi_request
66,K0GAAK52,Vi_request
67,K0GAAK53,Vi_request
68,K2AAAA88,Vi_request
69,K2AAAA97,Vi_request
70,K2AAAB39,Vi_request
71,K2AAAB41,Vi_request
72,K2AAAB42,Vi_request
73,K2AAAB45,Vi_request
74,K2AAAB47,Vi_request
75,K2AAAB52,Vi_request
76,K2AAAB55,Vi_request
77,K2AAAB79,Vi_request
78,K2AAAB93,Vi_request
79,K2AAAB96,Vi_request
80,K2AAAC22,Vi_request
81,K2AAAC28,Vi_request
82,K2AAAC34,Vi_request
83,K2AAAC40,Vi_request
84,K2AAAC49,Vi_request
85,K2AAAC51,Vi_request
86,K2AAAC56,Vi_request
87,K2AAAC59,Vi_request
88,K2AAAC67,Vi_request
89,K2AAAC73,Vi_request
90,K2AAAC75,Vi_request
91,K2AAAC82,Vi_request
92,K2AAAC89,Vi_request
93,K2AAAC94,Vi_request
94,K2AAAD40,Vi_request
95,K2DAAA80,Vi_request
96,K2DAAA82,Vi_request
97,K2DAAA88,Vi_request
98,K2DAAA89,Vi_request
99,K2DAAA90,Vi_request
100,K2DAAA91,Vi_request
101,K2DAAA95,Vi_request
102,K2DAAA96,Vi_request
103,K2DAAA99,Vi_request
104,K2DAAB07,Vi_request
105,K2DAAB19,Vi_request
106,K2DAAB28,Vi_request
107,K2DAAB42,Vi_request
108,K2DAAB57,Vi_request
109,K2DAAB63,Vi_request
110,K2DAAB65,Vi_request
111,K2GAAB58,Vi_request
112,K2GAAB59,Vi_request
113,K2GAAB60,Vi_request
114,K2GAAC12,Vi_request
115,K2GAAC17,Vi_request
116,K2GAAC28,Vi_request
117,K2GAAC38,Vi_request
