SampleID,TM_BAM
K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_2.sorted.bam
K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_2.sorted.bam
K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_1.sorted.bam
K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH050S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_0.sorted.bam
K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_pool_Liver_label_Liver_replicate_0.sorted.bam
K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_pool_Liver_label_Liver_replicate_1.sorted.bam
K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH056S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH051S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH053S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH048S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH053S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0005_from_ZMH048S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__001_from_ZMH053S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_1.sorted.bam
K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_0.sorted.bam
K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__05_from_pool_Liver_label_Liver_replicate_0.sorted.bam
K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_1.sorted.bam
K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_0,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH051S_label_Liver_replicate_0.sorted.bam
K0805_spike_in__01_from_ZMH050S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__01_from_ZMH050S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_pool_Liver_label_Liver_replicate_1.sorted.bam
K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_2,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__005_from_ZMH050S_label_Liver_replicate_2.sorted.bam
K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_1,/mnt/archiving/DATA_HIEUNHO/Spike_in/071024_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/K0805_spike_in__0001_from_ZMH056S_label_Liver_replicate_1.sorted.bam
